,MDS1,MDS2,SVVS_Labels,True_labels,EM_labels
C2.049,0.002298478,-0.147832505,1,1,1
D2.106,0.003321386,0.089556402,2,2,2
D2.111,0.003333173,0.053561145,2,2,2
D2.014,0.003778817,0.074489099,2,2,2
C2.013,0.004943893,-0.131786442,1,1,1
D2.024,0.006936615,0.090690824,2,2,2
C2.200,0.00822367,-0.061104663,1,1,1
C2.168,0.009037109,-0.160811389,1,1,1
C2.126,0.009571625,-0.049631237,1,1,1
D2.123,0.009695877,0.000692556,1,1,1
D2.040,0.010056948,0.092427124,2,2,2
C2.096,0.01072328,-0.218453936,1,1,1
C2.129,0.011324497,-0.022230472,1,1,1
C2.191,0.011576053,-0.072668086,1,1,1
D2.032,0.012108491,0.088837179,2,2,2
C2.187,0.012129196,-0.084593214,1,1,1
C2.199,0.01329511,-0.091856912,1,1,1
C2.173,0.014087048,-0.020179563,1,1,1
D2.030,0.015836937,0.07722161,2,2,2
D2.076,0.01636171,0.079143773,2,2,2
C2.046,0.016636467,-0.071746902,1,1,1
C2.080,0.017141481,-0.23163948,1,1,1
D2.131,0.018996738,0.136703409,2,2,2
D2.037,0.021174457,0.090829521,2,2,2
D2.085,0.02145542,0.077974734,2,2,2
C2.028,0.022873604,-0.13530799,1,1,1
D2.054,0.023867118,0.078073404,2,2,2
C2.091,0.023956401,-0.092077999,1,1,1
C2.056,0.024192499,-0.103337324,1,1,1
D2.140,0.024322971,0.029124784,2,2,2
C2.082,0.024957022,-0.161321324,1,1,1
D2.108,0.026603008,0.082643377,2,2,2
D2.101,0.02668882,0.072449936,2,2,2
C2.198,0.028717508,-0.103697384,1,1,1
D2.094,0.029911349,0.016059611,2,1,1
D2.046,0.030343163,0.010677995,2,1,1
D2.048,0.03170446,-0.008455815,2,1,1
D2.033,0.033592482,0.142806872,2,2,2
C2.134,0.034382464,-0.062275166,1,1,1
C2.163,0.035400532,0.004607481,1,1,1
C2.184,0.035435738,-0.043598169,1,1,1
D2.047,0.035632756,-0.003388178,2,1,1
C2.094,0.036436826,-0.128528258,1,1,1
C2.054,0.037748619,-0.090074168,1,1,1
C2.171,0.039995102,-0.061433335,1,1,1
D2.096,0.040093577,0.002189292,2,1,1
D2.045,0.040516855,0.023649005,2,1,2
D2.004,0.041956626,0.131514083,2,2,2
C2.070,0.042393706,-0.15822707,1,1,1
C2.100,0.042658942,-0.218539906,1,1,1
C2.169,0.043475106,-0.063462444,1,1,1
D2.034,0.043984118,0.098886675,2,2,2
D2.126,0.044724362,0.257434826,2,2,2
C2.086,0.045591591,-0.181928871,1,1,1
C2.113,0.052606176,-0.099174112,1,1,1
D2.099,0.054691591,0.050123198,2,2,2
D2.015,0.055510262,0.12398983,2,2,2
C2.071,0.057106545,-0.061252323,1,1,1
C2.005,0.057532839,-0.208210412,1,1,1
D2.053,0.060983131,0.034929909,2,2,2
C2.073,0.065928206,-0.082959395,1,1,1
C2.040,0.067515592,-0.281241998,1,1,1
C2.063,0.069234169,-0.154301553,1,1,1
C2.155,0.070428364,-0.121237497,1,1,1
C2.092,0.07142733,-0.185271729,1,1,1
C2.072,0.071462546,-0.114760317,1,1,1
C2.075,0.072006383,-0.091393423,1,1,1
C2.176,0.072251544,-0.027935773,1,1,1
C2.097,0.076618485,-0.182772302,1,1,1
C2.093,0.078077133,-0.046472513,1,1,1
C2.188,0.079790976,-0.109995799,1,1,1
C2.120,0.084467575,-0.144474074,1,1,1
C2.024,0.085328104,-0.2098597,1,1,1
C2.062,0.089227979,-0.135868566,1,1,1
C2.012,0.091267073,-0.07471749,1,1,1
C2.026,0.092553225,-0.227508441,1,1,1
C2.141,0.092964939,-0.094082527,1,1,1
C2.061,0.095686488,-0.197821835,1,1,1
C2.074,0.099611766,-0.084553121,1,1,1
C2.146,0.107522402,-0.140179162,1,1,1
C2.112,0.114276551,-0.069293177,1,1,1
C2.008,0.115845709,-0.124636217,1,1,1
